Team,parent,Total,Home Games,Away Games
Origin,,,,
Åland Islands,Origin,46,27,19
Abkhazia,Origin,28,18,10
Afghanistan,Origin,111,40,71
Albania,Origin,332,175,157
Alderney,Origin,19,7,12
Algeria,Origin,505,292,213
American Samoa,Origin,48,24,24
Andalusia,Origin,13,12,1
Andorra,Origin,164,83,81
Angola,Origin,352,171,181
Anguilla,Origin,61,21,40
Antigua and Barbuda,Origin,196,109,87
Arameans Suryoye,Origin,10,3,7
Argentina,Origin,980,548,432
Armenia,Origin,210,104,106
Artsakh,Origin,11,7,4
Aruba,Origin,120,60,60
Asturias,Origin,1,0,1
Australia,Origin,517,293,224
Austria,Origin,778,419,359
Azerbaijan,Origin,245,117,128
Bahamas,Origin,36,18,18
Bahrain,Origin,489,291,198
Bangladesh,Origin,208,115,93
Barawa,Origin,12,11,1
Barbados,Origin,263,160,103
Basque Country,Origin,57,32,25
Belarus,Origin,250,114,136
Belgium,Origin,768,411,357
Belize,Origin,79,34,45
Benin,Origin,260,131,129
Bermuda,Origin,152,88,64
Bhutan,Origin,81,27,54
Bolivia,Origin,458,235,223
Bonaire,Origin,21,8,13
Bosnia and Herzegovina,Origin,220,104,116
Botswana,Origin,279,154,125
Brazil,Origin,981,568,413
British Virgin Islands,Origin,91,39,52
Brittany,Origin,12,9,3
Brunei,Origin,73,26,47
Bulgaria,Origin,672,299,373
Burkina Faso,Origin,388,184,204
Burma,Origin,341,217,124
Burundi,Origin,188,83,105
Cambodia,Origin,225,126,99
Cameroon,Origin,534,256,278
Canada,Origin,381,171,210
Canary Islands,Origin,4,4,0
Cape Verde,Origin,166,90,76
Cascadia,Origin,7,2,5
Catalonia,Origin,47,38,9
Cayman Islands,Origin,91,55,36
Central African Republic,Origin,96,53,43
Central Spain,Origin,2,1,1
Chad,Origin,115,59,56
Chagos Islands,Origin,11,5,6
Chameria,Origin,5,1,4
Chile,Origin,760,391,369
China PR,Origin,596,337,259
Chinese Taipei,Origin,149,22,127
Colombia,Origin,550,261,289
Comoros,Origin,60,29,31
Congo,Origin,375,190,185
Cook Islands,Origin,43,17,26
Corsica,Origin,9,8,1
Costa Rica,Origin,604,302,302
County of Nice,Origin,9,4,5
Crimea,Origin,5,1,4
Croatia,Origin,318,153,165
Cuba,Origin,337,139,198
Curaçao,Origin,332,159,173
Cyprus,Origin,362,203,159
Czech Republic,Origin,297,145,152
Czechoslovakia,Origin,496,230,266
Darfur,Origin,7,4,3
Denmark,Origin,795,404,391
Djibouti,Origin,88,41,47
Dominica,Origin,182,97,85
Dominican Republic,Origin,113,63,50
DR Congo,Origin,462,193,269
East Timor,Origin,51,15,36
Ecuador,Origin,512,233,279
Egypt,Origin,634,381,253
El Salvador,Origin,501,283,218
Ellan Vannin,Origin,17,8,9
England,Origin,1009,498,511
Equatorial Guinea,Origin,130,68,62
Eritrea,Origin,72,26,46
Estonia,Origin,467,235,232
Eswatini,Origin,230,115,115
Ethiopia,Origin,362,213,149
Falkland Islands,Origin,29,11,18
Faroe Islands,Origin,224,114,110
Felvidék,Origin,8,2,6
Fiji,Origin,221,146,75
Finland,Origin,744,330,414
Frøya,Origin,30,12,18
France,Origin,840,484,356
French Guiana,Origin,157,71,86
Gabon,Origin,359,185,174
Galicia,Origin,9,7,2
Gambia,Origin,213,122,91
Georgia,Origin,241,110,131
German DR,Origin,298,132,166
Germany,Origin,949,506,443
Găgăuzia,Origin,3,3,0
Ghana,Origin,600,285,315
Gibraltar,Origin,98,55,43
Gotland,Origin,30,20,10
Gozo,Origin,6,3,3
Greece,Origin,564,289,275
Greenland,Origin,73,30,43
Grenada,Origin,212,106,106
Guadeloupe,Origin,236,125,111
Guam,Origin,99,45,54
Guatemala,Origin,442,235,207
Guernsey,Origin,77,37,40
Guinea,Origin,466,198,268
Guinea-Bissau,Origin,147,75,72
Guyana,Origin,264,138,126
Haiti,Origin,449,226,223
Hitra,Origin,19,8,11
Honduras,Origin,515,270,245
Hong Kong,Origin,389,245,144
Hungary,Origin,928,453,475
Iceland,Origin,448,210,238
India,Origin,404,237,167
