Team,iso3,TotalWins,TotalGoalsConceded,TotalGoalsScored
Aland Islands,ALA,14,88,47
Afghanistan,AFG,30,112,114
Albania,ALB,84,397,305
Alderney,GBA,3,32,15
Algeria,DZA,214,771,707
American Samoa,ASM,5,164,36
Andorra,AND,6,205,45
Angola,AGO,121,393,400
Anguilla,AIA,3,70,37
Antigua and Barbuda,ATG,62,313,274
Argentina,ARG,526,1684,1830
Armenia,ARM,51,272,212
Aruba,ABW,21,213,154
Australia,AUS,257,997,1046
Austria,AUT,323,1375,1382
Azerbaijan,AZE,47,241,181
Bahamas,BHS,11,65,48
Bahrain,BHR,164,728,595
Bangladesh,BGD,50,327,182
Barbados,BRB,88,441,344
Belarus,BLR,76,290,294
Belgium,BEL,333,1382,1356
Belize,BLZ,18,101,83
Benin,BEN,59,344,267
Bermuda,BMU,54,287,256
Bhutan,BTN,8,107,48
Bolivia,BOL,101,706,469
Bonaire,BES,7,41,34
Bosnia and Herzegovina,BIH,88,297,325
Botswana,BWA,75,303,229
Brazil,BRA,625,1874,2149
British Virgin Islands,VGB,16,140,79
Brittany,Origin,6,24,18
Brunei,BRU,10,103,55
Bulgaria,BGR,250,891,951
Burkina Faso,BFA,123,484,447
Burma,BUR,151,673,572
Burundi,BDI,58,173,201
Cambodia,KHM,48,423,252
Cameroon,CMR,232,636,738
Canada,CAN,134,427,441
Cape Verde,CPV,58,199,171
Cayman Islands,CYM,19,183,92
Central African Republic,RCA,20,150,102
Chad,TCD,25,155,106
Chile,CHL,290,1194,1081
China PR,CHN,287,1052,1079
Colombia,COL,214,628,673
Comoros,COM,9,49,39
Congo,COG,129,506,476
Cook Islands,COK,9,110,38
Costa Rica,CRI,257,877,985
Croatia,HRV,170,445,555
Cuba,CUB,115,401,442
Cyprus,CYP,69,571,320
Czech Republic,CZE,160,439,533
Czechoslovakia,CSK,222,828,915
Denmark,DNK,356,1363,1416
Djibouti,DJI,4,153,60
Dominica,DMA,43,313,212
Dominican Republic,DOM,44,196,178
DR Congo,COD,182,541,701
East Timor,TLS,4,64,42
Ecuador,ECU,152,673,620
Egypt,EGY,310,1090,1022
El Salvador,SLV,167,802,613
England,GBR,572,1596,2208
Equatorial Guinea,GNQ,29,147,108
Eritrea,ERI,11,44,48
Estonia,EST,119,620,470
Eswatini,SWZ,46,262,189
Ethiopia,ETH,132,561,503
Falkland Islands,FLK,6,59,28
Faroe Islands,FRO,40,366,182
Fiji,FJI,97,609,523
