Series Code,iso3,total
SP.POP.TOTL,ALA,46
SP.POP.TOTL,AFG,111
SP.POP.TOTL,ALB,337
SP.POP.TOTL,GBA,19
SP.POP.TOTL,DZA,511
SP.POP.TOTL,ASM,48
SP.POP.TOTL,AND,164
SP.POP.TOTL,AGO,352
SP.POP.TOTL,AIA,61
SP.POP.TOTL,ATG,196
SP.POP.TOTL,ARG,980
SP.POP.TOTL,ARM,226
SP.POP.TOTL,ABW,120
SP.POP.TOTL,AUS,546
SP.POP.TOTL,AUT,778
SP.POP.TOTL,AZE,245
SP.POP.TOTL,BHS,36
SP.POP.TOTL,BHR,489
SP.POP.TOTL,BGD,208
SP.POP.TOTL,BRB,263
SP.POP.TOTL,BLR,250
SP.POP.TOTL,BEL,768
SP.POP.TOTL,BLZ,79
SP.POP.TOTL,BEN,260
SP.POP.TOTL,BMU,152
SP.POP.TOTL,BTN,81
SP.POP.TOTL,BOL,458
SP.POP.TOTL,BES,21
SP.POP.TOTL,BIH,220
SP.POP.TOTL,BWA,279
SP.POP.TOTL,BRA,BRA
SP.POP.TOTL,VGB,91
SP.POP.TOTL,Origin,12
SP.POP.TOTL,BRU,73
SP.POP.TOTL,BGR,672
SP.POP.TOTL,BFA,388
SP.POP.TOTL,BUR,341
SP.POP.TOTL,BDI,188
SP.POP.TOTL,KHM,225
SP.POP.TOTL,CMR,534
SP.POP.TOTL,CAN,388
SP.POP.TOTL,CPV,166
SP.POP.TOTL,CYM,91
SP.POP.TOTL,RCA,96
SP.POP.TOTL,TCD,115
SP.POP.TOTL,CHL,760
SP.POP.TOTL,CHN,761
SP.POP.TOTL,COL,550
SP.POP.TOTL,COM,60
SP.POP.TOTL,COG,375
SP.POP.TOTL,COK,43
SP.POP.TOTL,CRI,604
SP.POP.TOTL,HRV,318
SP.POP.TOTL,CUB,337
SP.POP.TOTL,CYP,396
SP.POP.TOTL,CZE,297
SP.POP.TOTL,CSK,496
SP.POP.TOTL,DNK,795
SP.POP.TOTL,DJI,88
SP.POP.TOTL,DMA,182
SP.POP.TOTL,DOM,113
SP.POP.TOTL,COD,462
SP.POP.TOTL,TLS,51
SP.POP.TOTL,ECU,512
SP.POP.TOTL,EGY,634
SP.POP.TOTL,SLV,501
SP.POP.TOTL,GBR,1072
SP.POP.TOTL,GNQ,130
SP.POP.TOTL,ERI,72
SP.POP.TOTL,EST,503
SP.POP.TOTL,SWZ,230
SP.POP.TOTL,ETH,362
SP.POP.TOTL,FLK,29
SP.POP.TOTL,FRO,224
SP.POP.TOTL,FJI,221
SP.POP.TOTL,FIN,744
SP.POP.TOTL,FRA,875
SP.POP.TOTL,GUF,157
SP.POP.TOTL,GAB,359
SP.POP.TOTL,GMB,213
SP.POP.TOTL,GEO,269
SP.POP.TOTL,DEU,1260
SP.POP.TOTL,GHA,600
SP.POP.TOTL,GIB,98
SP.POP.TOTL,GRC,582
SP.POP.TOTL,GRL,73
SP.POP.TOTL,GRD,212
SP.POP.TOTL,GLP,236
SP.POP.TOTL,GUM,99
SP.POP.TOTL,GTM,442
SP.POP.TOTL,GGY,77
SP.POP.TOTL,GIN,466
SP.POP.TOTL,GNB,147
SP.POP.TOTL,GUY,264
SP.POP.TOTL,HTI,449
SP.POP.TOTL,HND,515
SP.POP.TOTL,HKG,389
SP.POP.TOTL,HUN,936
SP.POP.TOTL,ISL,448
SP.POP.TOTL,IND,404
SP.POP.TOTL,IDN,553
SP.POP.TOTL,IRN,499
SP.POP.TOTL,IRQ,574
SP.POP.TOTL,IMN,66
SP.POP.TOTL,ISR,428
SP.POP.TOTL,ITA,847
SP.POP.TOTL,CIV,565
SP.POP.TOTL,JAM,564
SP.POP.TOTL,JPN,627
SP.POP.TOTL,JEY,89
SP.POP.TOTL,JOR,392
SP.POP.TOTL,Origin,10
SP.POP.TOTL,KAZ,198
SP.POP.TOTL,KEN,645
SP.POP.TOTL,KIR,11
SP.POP.TOTL,UNK,39
SP.POP.TOTL,KWT,564
SP.POP.TOTL,KGZ,146
SP.POP.TOTL,LAO,163
SP.POP.TOTL,LVA,393
SP.POP.TOTL,LBN,273
SP.POP.TOTL,LSO,248
SP.POP.TOTL,LBR,247
SP.POP.TOTL,LBY,337
SP.POP.TOTL,LIE,198
SP.POP.TOTL,LTU,366
SP.POP.TOTL,LUX,402
SP.POP.TOTL,MAC,128
SP.POP.TOTL,MDG,222
SP.POP.TOTL,MWI,563
SP.POP.TOTL,MYS,602
SP.POP.TOTL,MDV,159
SP.POP.TOTL,MLI,499
SP.POP.TOTL,MLT,405
SP.POP.TOTL,MTQ,304
SP.POP.TOTL,MRT,212
SP.POP.TOTL,MUS,250
SP.POP.TOTL,MYT,18
SP.POP.TOTL,MEX,869
SP.POP.TOTL,FSM,7
SP.POP.TOTL,MDA,237
SP.POP.TOTL,MCO,12
SP.POP.TOTL,MNG,73
SP.POP.TOTL,MNE,107
SP.POP.TOTL,MSR,40
SP.POP.TOTL,MAR,535
SP.POP.TOTL,MOZ,304
SP.POP.TOTL,MMR,16
SP.POP.TOTL,NAM,229
SP.POP.TOTL,NPL,178
SP.POP.TOTL,NLD,1116
SP.POP.TOTL,NCL,227
SP.POP.TOTL,NZL,362
SP.POP.TOTL,NIC,155
SP.POP.TOTL,NER,205
SP.POP.TOTL,NGA,576
SP.POP.TOTL,NIU,2
SP.POP.TOTL,PRK,340
SP.POP.TOTL,MKD,237
SP.POP.TOTL,GBR,644
SP.POP.TOTL,MNP,24
SP.POP.TOTL,NOR,823
SP.POP.TOTL,OMN,450
SP.POP.TOTL,GBR,21
SP.POP.TOTL,PAK,190
SP.POP.TOTL,PLW,2
SP.POP.TOTL,PSE,186
SP.POP.TOTL,PAN,428
SP.POP.TOTL,PNG,116
SP.POP.TOTL,PRY,716
SP.POP.TOTL,PER,623
SP.POP.TOTL,PHL,232
SP.POP.TOTL,POL,823
SP.POP.TOTL,PRT,613
SP.POP.TOTL,PRI,117
SP.POP.TOTL,QAT,533
SP.POP.TOTL,IRL,566
SP.POP.TOTL,ROU,717
SP.POP.TOTL,RUS,694
SP.POP.TOTL,RWA,244
SP.POP.TOTL,SHN,4
SP.POP.TOTL,KNA,179
SP.POP.TOTL,LCA,199
SP.POP.TOTL,MAF,44
SP.POP.TOTL,SPM,7
SP.POP.TOTL,VCT,146
SP.POP.TOTL,WSM,51
SP.POP.TOTL,SMR,163
SP.POP.TOTL,SAU,623
SP.POP.TOTL,GBR,860
SP.POP.TOTL,SEN,529
SP.POP.TOTL,SRB,275
SP.POP.TOTL,SYC,113
SP.POP.TOTL,SLE,253
SP.POP.TOTL,SGP,556
SP.POP.TOTL,SXM,34
SP.POP.TOTL,SVK,291
SP.POP.TOTL,SVN,247
SP.POP.TOTL,SLB,170
SP.POP.TOTL,SOM,124
SP.POP.TOTL,ZAF,400
SP.POP.TOTL,KOR,862
SP.POP.TOTL,SSD,43
SP.POP.TOTL,ESP,792
SP.POP.TOTL,LKA,218
SP.POP.TOTL,SDN,704
SP.POP.TOTL,SUR,348
SP.POP.TOTL,SWE,1048
SP.POP.TOTL,CHE,797
SP.POP.TOTL,SYR,404
SP.POP.TOTL,PYF,210
SP.POP.TOTL,TJK,144
SP.POP.TOTL,TZA,736
SP.POP.TOTL,THA,639
SP.POP.TOTL,TLS,9
SP.POP.TOTL,TGO,386
SP.POP.TOTL,TON,56
SP.POP.TOTL,TTO,665
SP.POP.TOTL,TUN,581
SP.POP.TOTL,TUR,567
SP.POP.TOTL,TKM,138
SP.POP.TOTL,TCA,27
SP.POP.TOTL,TUV,34
SP.POP.TOTL,VIR,54
SP.POP.TOTL,UGA,624
SP.POP.TOTL,UKR,272
SP.POP.TOTL,ARE,521
SP.POP.TOTL,USA,684
SP.POP.TOTL,URY,884
SP.POP.TOTL,UZB,275
SP.POP.TOTL,VUT,174
SP.POP.TOTL,VAT,6
SP.POP.TOTL,VEN,381
SP.POP.TOTL,VNM,379
SP.POP.TOTL,GBR,717
SP.POP.TOTL,WLF,24
SP.POP.TOTL,ESH,5
SP.POP.TOTL,YEM,250
SP.POP.TOTL,YUG,480
SP.POP.TOTL,ZMB,718
SP.POP.TOTL,ZWE,461
