iso3,total
ALA,46
AFG,111
ALB,337
GBA,19
DZA,511
ASM,48
AND,164
AGO,352
AIA,61
ATG,196
ARG,980
ARM,226
ABW,120
AUS,546
AUT,778
AZE,245
BHS,36
BHR,489
BGD,208
BRB,263
BLR,250
BEL,768
BLZ,79
BEN,260
BMU,152
BTN,81
BOL,458
BES,21
BIH,220
BWA,279
BRA,981
VGB,91
Origin,12
BRU,73
BGR,672
BFA,388
BUR,341
BDI,188
KHM,225
CMR,534
CAN,388
CPV,166
CYM,91
RCA,96
TCD,115
CHL,760
CHN,761
COL,550
COM,60
COG,375
COK,43
CRI,604
HRV,318
CUB,337
CYP,396
CZE,297
CSK,496
DNK,795
DJI,88
DMA,182
DOM,113
COD,462
TLS,51
ECU,512
EGY,634
SLV,501
GBR,1072
GNQ,130
ERI,72
EST,503
SWZ,230
ETH,362
FLK,29
FRO,224
FJI,221
FIN,744
FRA,875
GUF,157
GAB,359
GMB,213
GEO,269
DEU,1260
GHA,600
GIB,98
GRC,582
GRL,73
GRD,212
GLP,236
GUM,99
GTM,442
GGY,77
GIN,466
GNB,147
GUY,264
HTI,449
HND,515
HKG,389
HUN,936
ISL,448
IND,404
IDN,553
IRN,499
IRQ,574
IMN,66
ISR,428
ITA,847
CIV,565
JAM,564
JPN,627
JEY,89
JOR,392
Origin,10
KAZ,198
KEN,645
KIR,11
UNK,39
KWT,564
KGZ,146
LAO,163
LVA,393
LBN,273
LSO,248
LBR,247
LBY,337
LIE,198
LTU,366
LUX,402
MAC,128
MDG,222
MWI,563
MYS,602
MDV,159
MLI,499
MLT,405
MTQ,304
MRT,212
MUS,250
MYT,18
MEX,869
FSM,7
MDA,237
MCO,12
MNG,73
MNE,107
MSR,40
MAR,535
MOZ,304
MMR,16
NAM,229
NPL,178
NLD,1116
NCL,227
NZL,362
NIC,155
NER,205
NGA,576
NIU,2
PRK,340
MKD,237
GBR,644
MNP,24
NOR,823
OMN,450
GBR,21
PAK,190
PLW,2
PSE,186
PAN,428
PNG,116
PRY,716
PER,623
PHL,232
POL,823
PRT,613
PRI,117
QAT,533
IRL,566
ROU,717
RUS,694
RWA,244
SHN,4
KNA,179
LCA,199
MAF,44
SPM,7
VCT,146
WSM,51
SMR,163
SAU,623
GBR,860
SEN,529
SRB,275
SYC,113
SLE,253
SGP,556
SXM,34
SVK,291
SVN,247
SLB,170
SOM,124
ZAF,400
KOR,862
SSD,43
ESP,792
LKA,218
SDN,704
SUR,348
SWE,1048
CHE,797
SYR,404
PYF,210
TJK,144
TZA,736
THA,639
TLS,9
TGO,386
TON,56
TTO,665
TUN,581
TUR,567
TKM,138
TCA,27
TUV,34
VIR,54
UGA,624
UKR,272
ARE,521
USA,684
URY,884
UZB,275
VUT,174
VAT,6
VEN,381
VNM,379
GBR,717
WLF,24
ESH,5
YEM,250
YUG,480
ZMB,718
ZWE,461
